DesignName,ParticipantID,TrialID,Block1,Block2,VV,OC,visualSearchTime,ErrorCount
Preattentive Variables,1,1,1,1,Shadow,Medium,1552,0
Preattentive Variables,1,2,1,2,Shadow,Low,1134,0
Preattentive Variables,1,3,1,3,Shadow,High,1140,0
Preattentive Variables,1,4,1,4,Shadow,Low,768,0
Preattentive Variables,1,5,1,5,Shadow,Medium,904,0
Preattentive Variables,1,6,1,6,Shadow,High,3383,0
Preattentive Variables,1,7,1,7,Shadow,Medium,931,0
Preattentive Variables,1,8,1,8,Shadow,Low,704,0
Preattentive Variables,1,9,1,9,Shadow,High,1159,0
Preattentive Variables,1,10,1,10,Shadow,Low,911,0
Preattentive Variables,1,11,1,11,Shadow,Medium,1507,0
Preattentive Variables,1,12,1,12,Shadow,High,1093,0
Preattentive Variables,1,13,1,13,Shadow,Medium,1657,0
Preattentive Variables,1,14,1,14,Shadow,Low,855,0
Preattentive Variables,1,15,1,15,Shadow,High,1460,0
Preattentive Variables,1,16,2,1,Motion,Medium,1605,0
Preattentive Variables,1,17,2,2,Motion,Low,985,0
Preattentive Variables,1,18,2,3,Motion,High,2126,0
Preattentive Variables,1,19,2,4,Motion,Low,1142,0
Preattentive Variables,1,20,2,5,Motion,Medium,910,0
Preattentive Variables,1,21,2,6,Motion,High,1141,0
Preattentive Variables,1,22,2,7,Motion,Medium,881,0
Preattentive Variables,1,23,2,8,Motion,Low,996,0
Preattentive Variables,1,24,2,9,Motion,High,911,0
Preattentive Variables,1,25,2,10,Motion,Low,1131,0
Preattentive Variables,1,26,2,11,Motion,Medium,1286,0
Preattentive Variables,1,27,2,12,Motion,High,1099,0
Preattentive Variables,1,28,2,13,Motion,Medium,6767,0
Preattentive Variables,1,29,2,14,Motion,Low,10557,0
Preattentive Variables,1,30,2,15,Motion,High,1859,0
Preattentive Variables,1,31,3,1,Both,Medium,3922,1
Preattentive Variables,1,32,3,2,Both,Low,2789,1
Preattentive Variables,1,33,3,3,Both,High,7029,1
Preattentive Variables,1,34,3,4,Both,Low,1545,0
Preattentive Variables,1,35,3,5,Both,Medium,3868,1
Preattentive Variables,1,36,3,6,Both,High,23900,0
Preattentive Variables,1,37,3,7,Both,Medium,8359,0
Preattentive Variables,1,38,3,8,Both,Low,7902,0
Preattentive Variables,1,39,3,9,Both,High,9937,0
Preattentive Variables,1,40,3,10,Both,Low,6877,0
Preattentive Variables,1,41,3,11,Both,Medium,6134,0
Preattentive Variables,1,42,3,12,Both,High,20029,0
Preattentive Variables,1,43,3,13,Both,Medium,5182,0
Preattentive Variables,1,44,3,14,Both,Low,3025,0
Preattentive Variables,1,45,3,15,Both,High,3428,0
