DesignName,ParticipantID,TrialID,Block1,Block2,VV,OC,visualSearchTime,ErrorCount
Preattentive Variables,1,1,1,1,Shadow,Medium,1552,0
Preattentive Variables,1,2,1,2,Shadow,Low,1134,0
Preattentive Variables,1,3,1,3,Shadow,High,1140,0
Preattentive Variables,1,4,1,4,Shadow,Low,768,0
Preattentive Variables,1,5,1,5,Shadow,Medium,904,0
Preattentive Variables,1,6,1,6,Shadow,High,3383,0
Preattentive Variables,1,7,1,7,Shadow,Medium,931,0
Preattentive Variables,1,8,1,8,Shadow,Low,704,0
Preattentive Variables,1,9,1,9,Shadow,High,1159,0
Preattentive Variables,1,10,1,10,Shadow,Low,911,0
Preattentive Variables,1,11,1,11,Shadow,Medium,1507,0
Preattentive Variables,1,12,1,12,Shadow,High,1093,0
Preattentive Variables,1,13,1,13,Shadow,Medium,1657,0
Preattentive Variables,1,14,1,14,Shadow,Low,855,0
Preattentive Variables,1,15,1,15,Shadow,High,1460,0
Preattentive Variables,1,16,2,1,Motion,Medium,1605,0
Preattentive Variables,1,17,2,2,Motion,Low,985,0
Preattentive Variables,1,18,2,3,Motion,High,2126,0
Preattentive Variables,1,19,2,4,Motion,Low,1142,0
Preattentive Variables,1,20,2,5,Motion,Medium,910,0
Preattentive Variables,1,21,2,6,Motion,High,1141,0
Preattentive Variables,1,22,2,7,Motion,Medium,881,0
Preattentive Variables,1,23,2,8,Motion,Low,996,0
Preattentive Variables,1,24,2,9,Motion,High,911,0
Preattentive Variables,1,25,2,10,Motion,Low,1131,0
Preattentive Variables,1,26,2,11,Motion,Medium,1286,0
Preattentive Variables,1,27,2,12,Motion,High,1099,0
Preattentive Variables,1,28,2,13,Motion,Medium,6767,0
Preattentive Variables,1,29,2,14,Motion,Low,10557,0
Preattentive Variables,1,30,2,15,Motion,High,1859,0
Preattentive Variables,1,31,3,1,Both,Medium,3922,1
Preattentive Variables,1,32,3,2,Both,Low,2789,1
Preattentive Variables,1,33,3,3,Both,High,7029,1
Preattentive Variables,1,34,3,4,Both,Low,1545,0
Preattentive Variables,1,35,3,5,Both,Medium,3868,1
Preattentive Variables,1,36,3,6,Both,High,23900,0
Preattentive Variables,1,37,3,7,Both,Medium,8359,0
Preattentive Variables,1,38,3,8,Both,Low,7902,0
Preattentive Variables,1,39,3,9,Both,High,9937,0
Preattentive Variables,1,40,3,10,Both,Low,6877,0
Preattentive Variables,1,41,3,11,Both,Medium,6134,0
Preattentive Variables,1,42,3,12,Both,High,20029,0
Preattentive Variables,1,43,3,13,Both,Medium,5182,0
Preattentive Variables,1,44,3,14,Both,Low,3025,0
Preattentive Variables,1,45,3,15,Both,High,3428,0
Preattentive Variables,2,46,1,1,Both,High,9485,1
Preattentive Variables,2,47,1,2,Both,Medium,2519,0
Preattentive Variables,2,48,1,3,Both,Low,1412,0
Preattentive Variables,2,49,1,4,Both,Medium,5104,0
Preattentive Variables,2,50,1,5,Both,High,6249,0
Preattentive Variables,2,51,1,6,Both,Low,4464,0
Preattentive Variables,2,52,1,7,Both,High,7227,0
Preattentive Variables,2,53,1,8,Both,Medium,12139,0
Preattentive Variables,2,54,1,9,Both,Low,2173,0
Preattentive Variables,2,55,1,10,Both,Medium,6303,0
Preattentive Variables,2,56,1,11,Both,High,6022,0
Preattentive Variables,2,57,1,12,Both,Low,3859,0
Preattentive Variables,2,58,1,13,Both,High,29008,0
Preattentive Variables,2,59,1,14,Both,Medium,5273,0
Preattentive Variables,2,60,1,15,Both,Low,1681,0
Preattentive Variables,2,61,2,1,Shadow,High,1548,0
Preattentive Variables,2,62,2,2,Shadow,Medium,4294,0
Preattentive Variables,2,63,2,3,Shadow,Low,950,0
Preattentive Variables,2,64,2,4,Shadow,Medium,2833,0
Preattentive Variables,2,65,2,5,Shadow,High,1170,0
Preattentive Variables,2,66,2,6,Shadow,Low,2343,0
Preattentive Variables,2,67,2,7,Shadow,High,2756,0
Preattentive Variables,2,68,2,8,Shadow,Medium,1121,0
Preattentive Variables,2,69,2,9,Shadow,Low,832,0
Preattentive Variables,2,70,2,10,Shadow,Medium,1806,0
Preattentive Variables,2,71,2,11,Shadow,High,946,0
Preattentive Variables,2,72,2,12,Shadow,Low,936,1
Preattentive Variables,2,73,2,13,Shadow,High,2024,0
Preattentive Variables,2,74,2,14,Shadow,Medium,911,1
Preattentive Variables,2,75,2,15,Shadow,Low,629,0
Preattentive Variables,2,76,3,1,Motion,High,1777,0
Preattentive Variables,2,77,3,2,Motion,Medium,1242,0
Preattentive Variables,2,78,3,3,Motion,Low,1193,0
Preattentive Variables,2,79,3,4,Motion,Medium,777,0
Preattentive Variables,2,80,3,5,Motion,High,1483,1
Preattentive Variables,2,81,3,6,Motion,Low,1221,0
Preattentive Variables,2,82,3,7,Motion,High,1469,0
Preattentive Variables,2,83,3,8,Motion,Medium,1445,0
Preattentive Variables,2,84,3,9,Motion,Low,1079,0
Preattentive Variables,2,85,3,10,Motion,Medium,913,0
